bblid,scanid,idemoFcExclude,idemoFcExcludeVoxelwise,idemoNoDataExclude,idemoRelMeanRMSMotion,idemoRelMeanRMSMotionExclude,idemoNSpikesMotion,idemoNSpikesMotionExclude,idemoNormCrossCorr,idemoNormCoverage,idemoCoregCrossCorr,idemoCoregCoverage,idemoVoxelwiseCoverageExclude,idemoMeanActivationExclude,idemoRpsMapCorrectionNotApplied
80961,2632,0,0,0,0.114759,0,17,0,0.91505197,0.9824269429,0.89157568,0.9870264206,0,0,1
80199,2637,0,0,0,0.0269399,0,0,0,0.90900663,0.9902537327,0.88294767,0.9911193768,0,0,1
80179,2643,0,0,0,0.053487,0,1,0,0.91199186,0.9699848995,0.89982722,0.9753814839,0,0,1
81005,2644,0,0,0,0.0359724,0,0,0,0.88856132,0.9761580672,0.85934034,0.9750874411,0,0,1
80812,2646,0,1,0,0.0970671,0,19,0,0.89242775,0.9238589477,0.8715576,0.9260848087,1,0,1
80607,2647,0,0,0,0.0877415,0,10,0,0.91366032,0.9893391893,0.8864,0.9930275105,0,0,1
80249,2648,0,1,0,0.0747583,0,2,0,0.89568822,0.9578778341,0.86839252,0.962963449,1,0,1
81098,2653,0,0,0,0.0618205,0,4,0,0.9097614,0.9885575737,0.88602312,0.9907193567,0,0,1
80854,2675,0,0,0,0.0497915,0,5,0,0.91679565,0.9840858821,0.89290445,0.9874581604,0,0,1
81826,2682,0,0,0,0.0430199,0,2,0,0.90616437,0.9848249607,0.87909351,0.9898395549,0,0,1
82232,2706,0,0,0,0.0414202,0,0,0,0.90102926,0.9788591604,0.87360812,0.9825614244,0,0,1
81604,2720,0,0,0,0.152393,0,27,0,0.88758815,0.9828257264,0.86173174,0.983471631,0,0,1
81982,2723,0,0,0,0.0250782,0,0,0,0.89967644,0.9589359395,0.88000815,0.9654144779,0,0,1
80575,2725,0,0,0,0.0274154,0,1,0,0.8976723,0.954804543,0.87236123,0.9578856057,0,0,1
80425,2726,1,1,0,0.379144,1,95,1,0.90898784,0.9473020971,0.8963797,0.9550368967,0,0,1
81989,2727,0,1,0,0.0614133,0,2,0,0.90777543,0.9422508402,0.89153852,0.9493465528,1,0,1
82458,2728,0,0,0,0.0299418,0,0,0,0.88794733,0.9497426518,0.86430444,0.9591474087,0,0,1
81287,2738,0,0,0,0.0517325,0,2,0,0.90327889,0.975302012,0.87906543,0.9793008839,0,0,0
80680,2739,0,0,0,0.0355435,0,0,0,0.90142979,0.9855853078,0.87190459,0.9892691526,0,0,0
81754,2740,0,0,0,0.102378,0,15,0,0.90845659,0.9800927305,0.88849406,0.9847432243,0,0,0
81903,2749,0,0,0,0.0312586,0,0,0,0.90740887,0.9778914459,0.88821853,0.9807101764,0,0,0
81043,2750,0,0,0,0.0781716,0,3,0,0.90250441,0.955750989,0.88695261,0.9600740311,0,0,0
81939,2751,0,0,0,0.0395971,0,0,0,0.90028061,0.9739940023,0.87503888,0.9781604084,0,0,0
81595,2752,0,0,0,0.0397805,0,1,0,0.90033549,0.9638010975,0.88263861,0.96755183,0,0,0
80895,2753,0,0,0,0.0435328,0,0,0,0.90686198,0.9766047046,0.89461298,0.9814431848,0,0,0
83080,2792,0,0,0,0.0762888,0,12,0,0.89823491,0.9550438131,0.87829744,0.9619951866,0,0,0
81544,2793,0,0,0,0.0648146,0,9,0,0.8985781,0.9615891787,0.87798962,0.9635616332,0,0,0
80289,2794,0,0,0,0.0503175,0,0,0,0.90650325,0.9532094092,0.88714013,0.9613458162,0,0,0
83103,2795,0,0,0,0.0606065,0,1,0,0.89246881,0.9576226127,0.869298,0.9621959471,0,0,0
83372,2796,0,0,0,0.026186,0,0,0,0.8948827,0.9699051428,0.86426131,0.9810517104,0,0,0
80396,2798,0,0,0,0.0199313,0,0,0,0.89335943,0.9823152836,0.84951815,0.9870125677,0,0,0
83937,2811,0,0,0,0.110608,0,26,0,0.90649803,0.9745842018,0.88666356,0.9812873078,0,0,0
81659,2818,0,0,0,0.0451573,0,1,0,0.9046661,0.9470256073,0.88638203,0.9540739458,0,0,0
80603,2821,0,0,0,0.0317,0,0,0,0.90335487,0.9778861288,0.8715917,0.9811829207,0,0,0
83525,2822,0,0,0,0.0295906,0,0,0,0.91315871,0.9834318772,0.89403615,0.986669155,0,0,0
80537,2823,0,0,0,0.0511978,0,0,0,0.8972211,0.9586594496,0.87842489,0.9617518414,0,0,0
82021,2825,0,0,0,0.028076,0,0,0,0.90811813,0.9708569059,0.89026755,0.9745455849,0,0,0
84814,2826,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
83990,2831,0,0,0,0.0486502,0,4,0,0.9053695,0.9778648603,0.88612638,0.982081627,0,0,0
84816,2832,0,0,0,0.0382586,0,4,0,0.90608057,0.9760251394,0.88110268,0.9791228245,0,0,0
83322,2854,1,1,0,0.19694,0,37,1,0.89946151,0.9793430176,0.87451047,0.9816359682,0,0,0
81644,2855,0,0,0,0.123734,0,19,0,0.91073928,0.9847505211,0.8891868,0.989788917,0,0,0
82051,2856,0,0,0,0.0546914,0,2,0,0.90826802,0.9707080268,0.88873907,0.9764346987,0,0,0
84107,2859,0,0,0,0.0274147,0,0,0,0.91143194,0.9807095156,0.89343334,0.9859917577,0,0,0
84233,2865,0,0,0,0.031571,0,0,0,0.90613958,0.9829799226,0.88152673,0.9871478905,0,0,0
80010,2894,0,0,0,0.125813,0,27,0,0.90388984,0.9876908844,0.87454279,0.9905018265,0,0,0
84394,2896,1,1,0,0.0901034,0,12,0,0.90094374,0.9683525459,0.88009413,0.9749285773,0,1,0
83113,2899,1,1,0,0.405624,1,56,1,0.91983062,0.9910938365,0.89354441,0.9928318344,0,0,0
82982,2902,0,0,0,0.0297502,0,0,0,0.85620086,0.9270492152,0.84329566,0.934767349,0,0,0
82907,2905,0,0,0,0.0447687,0,1,0,0.90507533,0.9567346549,0.88742954,0.9583300078,0,0,0
82383,2906,0,0,0,0.0429307,0,2,0,0.89976923,0.9722393552,0.87238904,0.9761952102,0,0,0
85394,2909,0,0,0,0.0392543,0,3,0,0.89037696,0.9436758263,0.86735051,0.9527463253,0,0,0
83035,2911,0,1,0,0.0358716,0,0,0,0.88185021,0.9378216854,0.85600681,0.9458857257,1,0,0
84365,2922,0,0,0,0.0532391,0,3,0,0.90419209,0.9650399847,0.88981351,0.9703544804,0,0,0
84321,2923,0,0,0,0.0443781,0,0,0,0.91436347,0.9740524906,0.8955895,0.9775717158,0,0,1
84332,2951,0,0,0,0.0507185,0,2,0,0.90340304,0.9728295547,0.88180599,0.9769760121,0,0,0
82373,2952,0,0,0,0.0363866,0,0,0,0.90602441,0.9774341742,0.87733355,0.9792098169,0,0,0
83999,2954,0,0,0,0.0348983,0,0,0,0.89938946,0.9587551576,0.87175883,0.9624653473,0,0,0
83358,2963,0,0,0,0.166321,0,34,0,0.90160463,0.9835488537,0.87802872,0.9878131694,0,0,0
